MINAS GERAIS;Governador Valadares;977,528;755,297;Cooperativa;ASCARF - ASSOCIACAO DOS CATADORES DE RESIDUOS SOLIDOS RECICLANDO HOJE POR UM FUTURO MELHOR DE GOVERNADOR VALADARES;-
MINAS GERAIS;Ipatinga;961,052;763,736;Cooperativa;ASCARI - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE IPATINGA;-
MINAS GERAIS;Brumadinho;892,932;785,619;Cooperativa;ASCAVAP - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DO VALE DO PARAOPEBA;-
MINAS GERAIS;Itabirito;900,117;804,517;Cooperativa;ASCITO - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE ITABIRITO;-
MINAS GERAIS;Ouro Branco;914,961;804,239;Cooperativa;ASCOB - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS E REAPROVEITAVEIS DE OURO BRANCO;-
MINAS GERAIS;Oliveira;888,871;802,601;Cooperativa;ASCOL - ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE OLIVEIRA;-
MINAS GERAIS;Conselheiro Lafaiete;942,154;804,239;Cooperativa;ASMARCOL - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CONSELHEIRO LAFAIETE;-
MINAS GERAIS;Belo Horizonte;929,183;770,042;Cooperativa;ASMARE - ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS REAPROVEITÁVEIS DE BELO HORIZONTE;-
MINAS GERAIS;Belo Horizonte;913,041;772,295;Cooperativa;ASSOCIRECICLE - ASSOCIAÇÃO DOS RECICLADORES DE BELO HORIZONTE;-
MINAS GERAIS;UBERLÂNDIA;804,757;759,946;Cooperativa;ASSOTAIAMAN;-
MINAS GERAIS;Mariana;935,811;795,998;Cooperativa;CAMAR - ASSOCIAÇÃO DE CATADORES DE MATERIAL RECICLÁVEL DE MARIANA;-
